Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
2014,Females,25–34,9,0.55
2014,Females,35–44,20,1.22
2014,Females,45–54,51,3.25
2014,Females,55–64,80,5.88
2014,Females,65–74,107,10.94
2014,Females,75–84,108,18.88
2014,Females,85–94,109,37.52
2014,Males,15–24,2,0.2
2014,Males,25–34,11,0.65
2014,Males,35–44,33,2.07
2014,Males,45–54,75,4.86
2014,Males,55–64,175,13.24
2014,Males,65–74,221,23.13
2014,Males,75–84,312,64.6
2014,Males,85–94,154,93.96
2014,Persons,15–24,3,0.2
2014,Persons,25–34,20,0.6
2014,Persons,35–44,53,1.66
2014,Persons,45–54,126,4.06
2014,Persons,55–64,255,9.55
2014,Persons,65–74,328,16.99
2014,Persons,75–84,420,39.81
2014,Persons,85–94,263,57.9
2015,Females,15–24,2,0.1
2015,Females,25–34,13,0.75
2015,Females,35–44,26,1.58
2015,Females,45–54,54,3.4
2015,Females,55–64,76,5.47
2015,Females,65–74,100,9.83
2015,Females,75–84,109,18.69
2015,Females,85–94,122,41.07
2015,Males,15–24,1,0.1
2015,Males,25–34,10,0.6
2015,Males,35–44,42,2.61
2015,Males,45–54,80,5.19
2015,Males,55–64,156,11.63
2015,Males,65–74,229,23.13
2015,Males,75–84,273,55.02
2015,Males,85–94,205,119.27
2015,Persons,15–24,3,0.1
2015,Persons,25–34,23,0.65
2015,Persons,35–44,68,2.12
2015,Persons,45–54,134,4.3
2015,Persons,55–64,232,8.52
2015,Persons,65–74,329,16.43
2015,Persons,75–84,382,35.44
2015,Persons,85–94,327,69.71
2016,Females,15–24,0,
2016,Females,25–34,6,0.3
2016,Females,35–44,14,0.86
2016,Females,45–54,34,2.07
2016,Females,55–64,58,4.09
2016,Females,65–74,87,8.22
2016,Females,75–84,115,19.31
2016,Females,85–94,111,36.57
2016,Males,15–24,2,0.1
2016,Males,25–34,10,0.53
2016,Males,35–44,35,2.2
2016,Males,45–54,58,3.79
2016,Males,55–64,115,8.48
2016,Males,65–74,232,22.62
2016,Males,75–84,233,45.62
2016,Males,85–94,172,95.94
2016,Persons,15–24,2,0.1
2016,Persons,25–34,16,0.43
2016,Persons,35–44,49,1.51
2016,Persons,45–54,92,2.94
2016,Persons,55–64,173,6.24
2016,Persons,65–74,319,15.27
2016,Persons,75–84,348,31.46
2016,Persons,85–94,283,58.63
2017,Females,15–24,2,0.2
2017,Females,25–34,8,0.4
2017,Females,35–44,20,1.2
